ticker,strategy,result
SBIN,BASIC,0
SBIN,DMA,0
SBIN,DMA++,1054.4
SBIN,MACD,1288.6
SBIN,ADX,-1338.25
SBIN,RSI,24.1
SBIN,LINEAR_REGRESSION,-1082.15
SBIN,PAIRS,7533.35
SBIN,PAIR_STOP,0
ADANIENT,BASIC,13998.5
ADANIENT,DMA,0
ADANIENT,DMA++,12976.5
ADANIENT,MACD,9911.05
ADANIENT,ADX,-14401.1
ADANIENT,RSI,-8754
ADANIENT,LINEAR_REGRESSION,-11138.4
ADANIENT,PAIRS,-6017.7
ADANIENT,PAIR_STOP,-11670.5
RELIANCE,BASIC,0
RELIANCE,DMA,0
RELIANCE,DMA++,-3852.15
RELIANCE,MACD,3647.9
RELIANCE,ADX,-6594.4
RELIANCE,RSI,4901.15
RELIANCE,LINEAR_REGRESSION,-2210.2
RELIANCE,PAIRS,7057.05
RELIANCE,PAIR_STOP,2522.7
TATASTEEL,BASIC,343.25
TATASTEEL,DMA,0
TATASTEEL,DMA++,-1430.05
TATASTEEL,MACD,-1069.4
TATASTEEL,ADX,1840.65
TATASTEEL,RSI,-3836.2
TATASTEEL,LINEAR_REGRESSION,1432.2
TATASTEEL,PAIRS,5397.85
TATASTEEL,PAIR_STOP,3056.75
